HD 125612 b,"[['HD 125612 c', 0.0], ['Wolf 503 b', 18.03494699309243], ['HD 125612 d', 0.0], ['HD 126614 b', 20.93021342586359], ['HIP 67851 b', 21.792025225618012]]"
16 Cyg B b,"[['WD 1856+534 b', 4.661519276410744]]"
8 UMi b,"[['HD 12648 b', 61.32946164722011]]"
HD 88133 b,"[['HD 87646 b', 61.418723625315664], ['HD 94834 b', 30.84986140048098]]"
HD 8673 b,"[['HD 12661 b', 8.161980325194461], ['HD 13931 b', 13.769823382748815]]"
HD 12661 b,"[['HD 12661 c', 0.0], ['GU Psc b', 14.873449807031601], ['HD 10697 b', 6.415225889869117]]"
WD 0806-661 b,"[['HD 90156 b', 15.01685953938348], ['HD 126525 b', 27.893877109076197], ['HD 65216 b', 16.017903355112864], ['DENIS-P J082303.1-491201 b', 6.185526923377777]]"
HD 87883 b,"[['HD 89744 b', 20.673056295079313], ['HIP 57274 b', 10.8175436123922]]"
HD 92788 b,"[['HD 92788 c', 0.0], ['HD 89307 b', 9.651314631229182]]"
81 Cet b,"[['WASP-77 A b', 8.714808507892041], ['2MASS J04414489+2301513 b', 90.46545492226457]]"
HD 87646 b,"[['HD 89345 b', 19.51998029077416]]"
WASP-77 A b,"[['WASP-76 b', 31.61563266265768], ['WASP-140 b', 97.2078383600475], ['HD 18015 b', 22.71072921255822]]"
EPIC 201238110 b,"[['WASP-85 A b', 33.04885887083814], ['HW Vir b', 42.555973087115426], ['EPIC 201497682 b', 103.0846445266775], ['K2-241 b', 14.483076048732672], ['K2-159 b', 12.174218218586894]]"
HD 9174 b,"[['WASP-8 b', 38.422174029153076]]"
WASP-8 b,"[['WASP-8 c', 0.0], ['WASP-95 b', 62.95775987048421], ['WASP-29 b', 8.31369470114441], ['HD 224693 b', 20.497753543236318]]"
HD 89345 b,"[['WASP-84 b', 55.944756759844864], ['WASP-104 b', 18.560670069008005]]"
18 Del b,"[['WASP-74 b', 78.97634076366943], ['EPIC 206215704 b', 56.81050943888589], ['HIP 97233 b', 42.09179109470837], ['HD 200964 c', 10.195858699337068]]"
WASP-80 b,"[['WASP-69 b', 10.612188273787952], ['xi Aql b', 12.443921022954223], ['HD 181234 b', 12.852197775811426]]"
XO-2 S b,"[['XO-2 S c', 0.0], ['HAT-P-13 b', 68.00498646952097], ['XO-2 N b', 2.880093702888731]]"
WASP-74 b,"[['WASP-67 b', 73.15777346126495], ['CoRoT-2 b', 63.6415013958186], ['HU Aqr AB b', 57.43624584774708], ['WASP-2 b', 21.96124298148127]]"
WASP-95 b,"[['WASP-97 b', 74.93707512410477], ['TOI-132 b', 29.035785794382218]]"
HD 12648 b,"[['XO-6 b', 75.3354447808767], ['Qatar-1 b', 80.978338109168], ['XO-7 b', 58.06686722068274], ['HD 11755 b', 70.36059990070305]]"
