pl_name,ra,dec,st_dist,x,y,z
K2-16 c,175.097260,4.557340,338.19,,,
K2-160 b,184.054581,-3.553082,318.19,,,
K2-161 b,183.793839,-3.495612,941.09,,,
K2-162 b,186.038666,-1.111351,125.10,,,
K2-163 b,182.329346,-0.539055,209.67,,,
K2-164 b,171.933670,-0.062840,379.64,,,
K2-165 b,184.900330,0.968397,135.10,,,
K2-165 c,184.900330,0.968397,135.10,,,
K2-165 d,184.900330,0.968397,135.10,,,
K2-166 b,185.188293,2.282436,481.00,,,
K2-167 b,336.575775,-18.011171,81.08,,,
K2-168 b,333.109894,-16.341755,245.56,,,
K2-169 b,337.044281,-14.599381,237.35,,,
K2-17 b,178.329773,6.412261,125.56,,,
K2-170 b,335.450714,-14.593286,397.26,,,
K2-170 c,335.450714,-14.593286,397.26,,,
K2-171 b,332.340820,-13.428865,616.41,,,
K2-172 b,335.308380,-12.556900,251.51,,,
K2-172 c,335.308380,-12.556900,251.51,,,
K2-173 b,60.374950,15.625037,230.14,,,
K2-174 b,60.792843,16.347446,100.10,,,
K2-175 b,52.503578,17.584192,249.01,,,
K2-176 b,58.269165,17.907072,249.01,,,
K2-177 b,55.229565,20.736078,499.02,,,
K2-178 b,52.888882,22.434870,216.08,,,
K2-179 b,58.796898,23.756807,191.84,,,
K2-18 b,172.560455,7.588391,38.07,,,
K2-18 c,172.560455,7.588391,38.07,,,
K2-180 b,126.463936,10.246968,204.51,,,
K2-181 b,127.554031,10.910294,364.82,,,
K2-182 b,130.180328,10.982941,155.90,,,
K2-183 b,125.007156,14.019461,331.77,,,
K2-183 c,125.007156,14.019461,331.77,,,
K2-183 d,125.007156,14.019461,331.77,,,
K2-184 b,129.140106,14.461936,75.79,,,
K2-185 b,130.259659,14.690320,270.41,,,
K2-186 b,135.334976,18.825455,333.84,,,
K2-187 b,132.523605,23.192600,333.51,,,
K2-187 c,132.523605,23.192600,333.51,,,
K2-187 d,132.523605,23.192600,333.51,,,
K2-187 e,132.523605,23.192600,333.51,,,
K2-188 b,129.813629,23.357481,452.90,,,
K2-188 c,129.813629,23.357481,452.90,,,
K2-189 b,203.621292,-15.036359,243.93,,,
K2-189 c,203.621292,-15.036359,243.93,,,
K2-19 b,174.960312,0.603575,292.14,,,
K2-19 c,174.960312,0.603575,292.14,,,
K2-19 d,174.960312,0.603575,292.14,,,
K2-190 b,205.363495,-13.160896,161.42,,,
K2-190 c,205.363495,-13.160896,161.42,,,
K2-191 b,201.639175,-12.806568,289.57,,,
K2-192 b,206.582275,-11.556253,223.99,,,
K2-193 b,205.237061,-11.009296,416.91,,,
K2-194 b,204.608932,-8.927150,640.65,,,
K2-195 b,199.831512,-8.509480,317.83,,,
K2-195 c,199.831512,-8.509480,317.83,,,
K2-196 b,200.456345,-8.471721,594.09,,,
K2-197 b,202.393661,-7.374002,249.59,,,
K2-198 b,198.843811,-6.464886,110.91,,,
K2-198 c,198.843811,-6.464886,110.91,,,
K2-198 d,198.843811,-6.464886,110.91,,,
K2-199 b,208.901703,-6.136143,107.97,,,
K2-199 c,208.901703,-6.136143,107.97,,,
K2-200 b,202.251602,-4.610228,185.09,,,
K2-201 b,293.560730,-23.131035,199.05,,,
K2-201 c,293.560730,-23.131035,199.05,,,
K2-202 b,283.264282,-22.407034,302.99,,,
K2-203 b,12.773741,-1.195891,166.93,,,
K2-204 b,17.382523,-0.517620,586.87,,,
K2-205 b,15.217487,0.425996,409.95,,,
K2-206 b,11.256313,0.593257,246.14,,,
K2-207 b,11.699704,0.640796,366.84,,,
K2-208 b,20.779097,0.889177,258.76,,,
K2-209 b,14.690681,1.383812,76.67,,,
K2-21 b,340.303680,-14.488987,83.85,,,
K2-21 c,340.303680,-14.488987,83.85,,,
K2-210 b,17.640936,1.578266,177.39,,,
K2-211 b,21.105953,1.704954,274.39,,,
K2-212 b,18.423407,3.096936,109.32,,,
K2-213 b,13.140305,3.507705,394.05,,,
K2-214 b,14.876077,4.227798,303.28,,,
K2-215 b,18.470087,6.123902,408.67,,,
K2-216 b,11.480249,6.346971,115.84,,,
K2-217 b,11.298392,6.481562,386.01,,,
K2-218 b,12.809659,6.846460,398.41,,,
K2-219 b,12.845309,8.867640,328.42,,,
K2-219 c,12.845309,8.867640,328.42,,,
K2-219 d,12.845309,8.867640,328.42,,,
K2-22 b,169.482819,2.619070,245.53,,,
K2-220 b,12.769862,9.516806,234.92,,,
K2-221 b,16.654982,10.189687,321.63,,,
K2-222 b,16.462280,11.753423,101.59,,,
K2-223 b,185.306152,-10.282037,201.10,,,
K2-223 c,185.306152,-10.282037,201.10,,,
K2-224 b,189.704086,-10.060654,277.70,,,
K2-224 c,189.704086,-10.060654,277.70,,,
K2-225 b,186.541290,-9.624804,360.30,,,
K2-226 b,183.645752,-9.562642,211.20,,,
K2-227 b,190.948471,-8.478236,188.22,,,
K2-228 b,187.294785,-6.834258,142.40,,,
K2-229 b,186.873260,-6.721861,103.80,,,
K2-229 c,186.873260,-6.721861,103.80,,,
K2-230 b,191.363205,-6.576109,548.90,,,
K2-231 b,289.091827,-15.771108,295.00,,,
K2-232 b,73.766510,18.654535,131.21,,,
K2-233 b,230.479980,-20.231684,67.64,,,
K2-233 c,230.479980,-20.231684,67.64,,,
K2-233 d,230.479980,-20.231684,67.64,,,
K2-237 b,253.768890,-28.710564,309.50,,,
K2-238 b,347.704346,-7.857499,453.00,,,
K2-239 b,160.594299,4.441349,49.00,,,
K2-239 c,160.594299,4.441349,49.00,,,
K2-239 d,160.594299,4.441349,49.00,,,
K2-24 b,242.573715,-24.990332,171.39,,,
K2-24 c,242.573715,-24.990332,171.39,,,
K2-240 b,227.849609,-17.875217,70.00,,,
K2-240 c,227.849609,-17.875217,70.00,,,
K2-241 b,181.239365,-6.804924,149.60,,,
K2-242 b,179.835907,-6.517851,109.60,,,
K2-243 b,181.121399,-4.899185,269.20,,,
K2-243 c,181.121399,-4.899185,269.20,,,
K2-244 b,183.468918,-3.831868,214.00,,,
K2-245 b,185.181686,-1.590889,463.40,,,
K2-246 b,181.629715,-1.160560,723.10,,,
K2-247 b,188.893692,-10.069232,260.20,,,
K2-247 c,188.893692,-10.069232,260.20,,,
K2-248 b,182.817245,-9.414005,410.50,,,
K2-249 b,183.366669,-8.995114,528.30,,,
K2-25 b,63.273434,15.247763,45.01,,,
K2-250 b,185.031769,-8.975785,417.60,,,
K2-251 b,190.689224,-8.535920,147.70,,,
K2-252 b,182.366364,-8.309520,229.90,,,
K2-253 b,186.085403,-6.378884,901.80,,,
K2-254 b,185.550751,-4.717236,229.40,,,
K2-254 c,185.550751,-4.717236,229.40,,,
K2-255 b,189.912994,-3.370542,192.40,,,
K2-256 b,186.227158,-2.065931,580.50,,,
K2-257 b,188.278488,-1.953159,64.10,,,
K2-258 b,187.631332,-1.160920,675.20,,,
K2-259 b,186.802689,1.566849,422.10,,,
K2-26 b,94.206581,24.596411,99.33,,,
K2-260 b,76.867325,16.867718,676.32,,,
K2-261 b,163.032425,0.493352,214.58,,,
K2-263 b,129.682388,15.680626,163.23,,,
K2-264 b,131.358566,19.698462,187.00,,,
K2-264 c,131.358566,19.698462,187.00,,,
K2-265 b,342.031525,-14.494689,139.22,,,
K2-266 b,157.935440,0.937571,77.16,,,
K2-266 c,157.935440,0.937571,77.16,,,
K2-266 d,157.935440,0.937571,77.16,,,
K2-266 e,157.935440,0.937571,77.16,,,
K2-268 b,133.709549,11.848265,331.46,,,
K2-268 c,133.709549,11.848265,331.46,,,
K2-269 b,130.155167,13.014676,362.07,,,
K2-27 b,171.515167,1.230738,251.43,,,
K2-270 b,131.266602,13.549833,283.53,,,
K2-270 c,131.266602,13.549833,283.53,,,
K2-271 b,125.223885,16.090946,571.47,,,
K2-272 b,132.621124,17.542444,426.57,,,
K2-273 b,129.777054,19.010023,310.60,,,
K2-274 b,129.282440,20.399372,232.82,,,
K2-275 b,132.169891,20.455076,124.09,,,
K2-275 c,132.169891,20.455076,124.09,,,
K2-276 b,125.952751,22.634024,489.88,,,
K2-277 b,202.016632,-15.937820,113.53,,,
K2-278 b,203.301773,-14.504056,804.13,,,
K2-279 b,204.779724,-6.041594,183.80,,,
K2-28 b,335.624390,-7.955366,63.11,,,
K2-280 b,291.595337,-22.247662,396.90,,,
K2-281 b,16.227350,7.269234,466.11,,,
K2-282 b,13.432017,7.995316,502.28,,,
K2-283 b,13.194414,9.692924,408.24,,,
K2-284 b,79.140686,20.255108,107.60,,,
K2-285 b,349.384277,1.300290,155.65,,,
K2-285 c,349.384277,1.300290,155.65,,,
K2-285 d,349.384277,1.300290,155.65,,,
K2-285 e,349.384277,1.300290,155.65,,,
K2-286 b,233.369568,-16.773256,76.32,,,
K2-287 b,233.074341,-22.358261,159.05,,,
K2-288 B b,55.443439,18.268902,65.72,,,
K2-289 b,246.643036,-15.792386,270.70,,,
K2-29 b,62.670647,24.402042,179.39,,,
K2-290 b,234.857773,-20.198818,274.99,,,
K2-290 c,234.857773,-20.198818,274.99,,,
K2-291 b,76.445793,21.548630,90.29,,,
K2-292 b,205.376266,-9.946078,114.29,,,
K2-293 b,351.606354,-6.027876,396.64,,,
K2-294 b,352.051666,-7.603690,377.04,,,
K2-295 b,19.609900,6.816871,225.70,,,
K2-3 b,172.334946,-1.454787,45.00,,,
K2-3 c,172.334946,-1.454787,45.00,,,
K2-3 d,172.334946,-1.454787,45.00,,,
K2-30 b,52.341961,22.299404,336.26,,,
K2-31 b,245.440750,-23.547865,110.87,,,
K2-315 b,228.021652,-20.108528,56.80,,,
K2-316 b,233.624756,-23.259212,112.84,,,
K2-316 c,233.624756,-23.259212,112.84,,,
K2-317 b,228.619278,-21.022715,177.08,,,
K2-318 b,232.446381,-17.557276,148.49,,,
K2-319 b,166.801025,3.040031,210.56,,,
K2-32 b,252.426086,-19.542822,158.39,,,
K2-32 c,252.426086,-19.542822,158.39,,,
K2-32 d,252.426086,-19.542822,158.39,,,
K2-32 e,252.426086,-19.542822,158.39,,,
K2-320 b,163.252151,5.306635,109.07,,,
K2-321 b,156.405273,2.514349,77.86,,,
K2-322 b,156.622757,4.764019,123.86,,,
K2-323 b,159.421021,6.285933,118.72,,,
K2-324 b,157.622284,6.863706,137.18,,,
K2-325 b,353.916931,-7.686560,111.98,,,
K2-326 b,351.612152,1.337557,284.58,,,
K2-33 b,242.561401,-19.319273,139.80,,,
K2-34 b,127.578773,22.235909,352.34,,,
K2-35 b,170.103088,1.285956,254.43,,,
K2-35 c,170.103088,1.285956,254.43,,,
K2-36 b,169.449066,3.866393,110.09,,,
K2-36 c,169.449066,3.866393,110.09,,,
K2-37 b,243.451004,-24.787062,180.86,,,
K2-37 c,243.451004,-24.787062,180.86,,,
K2-37 d,243.451004,-24.787062,180.86,,,
K2-38 b,240.033585,-23.189287,193.71,,,
K2-38 c,240.033585,-23.189287,193.71,,,
K2-39 b,338.368378,-9.022769,310.14,,,
K2-4 b,174.745636,-3.905585,233.37,,,
K2-42 b,176.665726,-5.171913,401.36,,,
K2-43 b,169.117142,-3.975440,183.48,,,
K2-43 c,169.117142,-3.975440,183.48,,,
K2-44 b,174.011627,-2.520881,483.19,,,
K2-45 b,169.632874,-1.774130,502.34,,,
K2-46 b,174.266342,-0.907261,454.93,,,
K2-47 b,168.582596,2.780711,353.38,,,
K2-48 b,176.123550,3.272425,316.61,,,
K2-49 b,177.320206,3.475569,463.06,,,
K2-5 b,169.303497,-1.877976,204.12,,,
K2-5 c,169.303497,-1.877976,204.12,,,
K2-50 b,169.483627,5.988378,259.33,,,
K2-52 b,246.611420,-24.969948,1041.70,,,
K2-53 b,244.141815,-20.400534,139.10,,,
K2-54 b,338.054199,-17.543995,175.84,,,
K2-55 b,333.751923,-17.250708,160.26,,,
K2-57 b,342.691711,-14.069886,266.23,,,
K2-58 b,333.821808,-14.049808,182.69,,,
K2-58 c,333.821808,-14.049808,182.69,,,
K2-58 d,333.821808,-14.049808,182.69,,,
K2-59 b,338.942352,-14.027745,314.09,,,
K2-59 c,338.942352,-14.027745,314.09,,,
K2-6 b,178.192261,-1.198477,319.59,,,
K2-60 b,338.606171,-13.731702,498.70,,,
K2-61 b,339.674744,-13.560024,410.35,,,
K2-62 b,334.364166,-12.187498,112.83,,,
K2-62 c,334.364166,-12.187498,112.83,,,
K2-63 b,333.426666,-12.066374,524.41,,,
K2-63 c,333.426666,-12.066374,524.41,,,
K2-64 b,332.413605,-11.428742,506.87,,,
K2-65 b,333.211761,-10.925379,78.06,,,
K2-66 b,331.526703,-10.711549,520.43,,,
K2-68 b,334.019775,-10.567318,169.47,,,
K2-69 b,335.759552,-10.488580,181.63,,,
K2-7 b,167.093765,-1.065755,754.64,,,
K2-70 b,338.475800,-10.084946,234.47,,,
K2-71 b,341.724426,-9.881619,153.86,,,
K2-72 b,334.621979,-9.612382,66.56,,,
K2-72 c,334.621979,-9.612382,66.56,,,
K2-72 d,334.621979,-9.612382,66.56,,,
K2-72 e,334.621979,-9.612382,66.56,,,
K2-73 b,335.025482,-9.056093,271.27,,,
K2-74 b,339.919342,-8.714505,381.85,,,
K2-75 b,338.844849,-7.469853,570.86,,,
K2-75 c,338.844849,-7.469853,570.86,,,
K2-77 b,55.228428,12.572612,142.31,,,
K2-79 b,55.255905,13.519372,257.90,,,
K2-8 b,169.793671,-0.284375,407.93,,,
K2-8 c,169.793671,-0.284375,407.93,,,
K2-80 b,59.037487,13.559289,201.96,,,
K2-80 c,59.037487,13.559289,201.96,,,
K2-80 d,59.037487,13.559289,201.96,,,
K2-81 b,57.485489,14.502200,254.14,,,
K2-83 b,59.901562,15.558886,125.98,,,
K2-83 c,59.901562,15.558886,125.98,,,
K2-84 b,55.809273,16.634548,287.23,,,
K2-84 c,55.809273,16.634548,287.23,,,
K2-85 b,59.464394,18.465254,97.49,,,
K2-86 b,51.552799,18.635616,260.61,,,
K2-87 b,66.236221,18.827417,503.60,,,
K2-88 b,54.751598,19.120178,110.91,,,
K2-89 b,57.066715,20.459639,86.25,,,
K2-9 b,176.264465,0.005301,83.16,,,
K2-90 b,59.152405,22.472631,134.90,,,
K2-90 c,59.152405,22.472631,134.90,,,
K2-91 b,63.218063,24.205112,62.69,,,
K2-95 b,129.362747,18.976685,180.63,,,
K2-97 b,127.762833,10.847586,869.76,,,
K2-98 b,126.488289,11.511145,526.31,,,
K2-99 b,208.773743,-5.442466,522.29,,,
KELT-1 b,0.362142,39.383808,262.00,,,
KELT-10 b,284.548373,-47.003242,183.00,,,
KELT-11 b,161.707260,-9.399025,99.44,,,
KELT-12 b,267.640503,36.570232,360.00,,,
KELT-14 b,108.301485,-42.409744,266.00,,,
KELT-15 b,117.415037,-52.120453,327.74,,,
KELT-16 b,314.268494,31.661034,450.28,,,
KELT-17 b,125.617523,13.735319,210.00,,,
KELT-18 b,216.524017,59.444275,311.00,,,
KELT-19 A b,111.509499,7.615806,302.80,,,
KELT-2 A b,92.663948,30.957144,134.57,,,
KELT-20 b,294.661407,31.219225,139.70,,,
KELT-21 b,304.800049,32.581039,415.00,,,
KELT-23 A b,232.146636,66.358762,125.42,,,
KELT-24 b,161.909790,71.655876,96.03,,,
KELT-3 b,148.643324,40.388069,211.35,,,
KELT-4 A b,157.062546,25.573189,210.00,,,
KELT-6 b,195.981868,30.640051,242.39,,,
KELT-6 c,195.981868,30.640051,242.39,,,
KELT-7 b,78.295532,33.318165,137.21,,,
KELT-8 b,283.305510,24.127380,198.70,,,
KELT-9 b,307.859802,39.938828,205.65,,,
KIC 10001893 b,287.389188,46.984489,1758.47,,,
KIC 10001893 c,287.389188,46.984489,1758.47,,,
KIC 10001893 d,287.389188,46.984489,1758.47,,,
KIC 10525077 b,287.378077,47.771187,1525.31,,,
KIC 3558849 b,294.949847,38.605197,1258.75,,,
KIC 5095269 b,290.551942,40.235027,1230.60,,,
KIC 5437945 b,288.474857,40.651357,1322.48,,,
KIC 5951458 b,288.991582,41.223038,758.78,,,
KIC 7917485 b,299.434592,43.632622,1439.31,,,
KIC 8540376 b,282.377530,44.694592,1106.37,,,
KIC 8540376 c,282.377530,44.694592,1106.37,,,
KIC 9663113 b,297.045421,46.328701,1670.88,,,
KMT-2016-BLG-0212L b,268.439250,-29.086889,6300.00,,,
KMT-2016-BLG-1107L b,266.417750,-26.031800,6651.00,,,
KMT-2016-BLG-1397L b,272.664612,-24.857738,6600.00,,,
KMT-2016-BLG-1820L b,268.764740,-29.516920,6260.00,,,
KMT-2016-BLG-1836L b,268.250333,-30.040750,7100.00,,,
KMT-2016-BLG-2142L b,268.112000,-29.384562,7010.00,,,
KMT-2017-BLG-0165L b,269.649667,-28.133669,4530.00,,,
KMT-2017-BLG-1038L b,266.170917,-25.143031,6000.00,,,
KMT-2017-BLG-1146L b,269.105833,-33.142469,6500.00,,,
KMT-2018-BLG-0029L b,264.469458,-27.984700,3380.00,,,
KMT-2018-BLG-0748L b,267.874500,-30.646389,7300.00,,,
KMT-2018-BLG-1292L b,263.427583,-33.520669,3460.00,,,
KMT-2018-BLG-1990L b,268.435375,-22.152539,967.00,,,
KMT-2019-BLG-0842L b,268.458458,-29.877439,3320.00,,,
KMT-2019-BLG-1339L b,265.743417,-25.573917,6120.00,,,
KMT-2019-BLG-1953L b,269.116250,-28.201111,7040.00,,,
KOI-12 b,297.453731,41.010991,403.99,,,
KOI-1257 b,291.225180,44.927383,900.00,,,
KOI-13 b,286.971199,46.868362,415.00,,,
KOI-142 b,291.148088,40.669407,339.00,,,
KOI-142 c,291.148088,40.669407,339.00,,,
KOI-1599.01,298.373847,40.618421,1168.99,,,
KOI-1599.02,298.373847,40.618421,1168.99,,,
KOI-1783.01,289.341414,46.988243,887.81,,,
KOI-1783.02,289.341414,46.988243,887.81,,,
KOI-217 b,294.865505,46.285854,800.00,,,
KOI-351 b,284.433492,49.305161,780.00,,,
KOI-351 c,284.433492,49.305161,780.00,,,
KOI-351 d,284.433492,49.305161,780.00,,,
KOI-351 e,284.433492,49.305161,780.00,,,
KOI-351 f,284.433492,49.305161,780.00,,,
KOI-351 g,284.433492,49.305161,780.00,,,
KOI-351 h,284.433492,49.305161,780.00,,,
KOI-3680 b,293.281566,45.309677,946.59,,,
KOI-55 b,296.356105,41.092755,1180.00,,,
KOI-55 c,296.356105,41.092755,1180.00,,,
KOI-94 b,297.333057,41.891117,483.65,,,
KOI-94 c,297.333057,41.891117,483.65,,,
KOI-94 d,297.333057,41.891117,483.65,,,
KOI-94 e,297.333057,41.891117,483.65,,,
KPS-1 b,165.167404,64.964020,264.69,,,
Kapteyn c,77.919090,-45.018414,3.93,,,
Kepler-10 b,285.679394,50.241299,186.50,,,
Kepler-10 c,285.679394,50.241299,186.50,,,
Kepler-100 b,291.385979,41.990273,307.34,,,
Kepler-100 c,291.385979,41.990273,307.34,,,
Kepler-100 d,291.385979,41.990273,307.34,,,
Kepler-1000 b,286.685523,47.098221,925.00,,,
Kepler-1001 b,286.273871,48.618706,1009.00,,,
Kepler-1001 c,286.273871,48.618706,1009.00,,,
Kepler-1002 b,293.079495,43.073715,425.00,,,
Kepler-1003 b,292.020456,44.876217,873.00,,,
Kepler-1004 b,297.359299,49.797550,1080.00,,,
Kepler-1005 b,286.286014,43.320461,515.00,,,
Kepler-1006 b,295.754127,42.537476,496.00,,,
Kepler-1007 b,295.906552,45.809120,365.00,,,
Kepler-1008 b,296.547525,44.941933,299.00,,,
Kepler-1009 b,282.859930,42.665764,281.00,,,
Kepler-101 b,283.255489,48.355228,953.44,,,
Kepler-101 c,283.255489,48.355228,953.44,,,
Kepler-1010 b,289.192636,44.149326,610.00,,,
Kepler-1011 b,297.401546,46.824001,860.00,,,
Kepler-1012 b,289.296270,46.457954,420.00,,,
Kepler-1013 b,290.248072,44.435242,433.00,,,
Kepler-1014 b,285.122033,44.110603,672.00,,,
Kepler-1015 b,292.757330,43.426910,932.00,,,
Kepler-1016 b,294.613645,45.984623,1239.00,,,
Kepler-1016 c,294.613645,45.984623,1239.00,,,
Kepler-1017 b,283.469362,40.132607,554.00,,,
Kepler-1018 b,283.596696,45.407879,894.00,,,
Kepler-1019 b,283.717526,47.204449,198.00,,,
Kepler-102 b,281.482749,47.208031,108.13,,,
Kepler-102 c,281.482749,47.208031,108.13,,,
Kepler-102 d,281.482749,47.208031,108.13,,,
Kepler-102 e,281.482749,47.208031,108.13,,,
Kepler-102 f,281.482749,47.208031,108.13,,,
Kepler-1020 b,292.672551,46.377422,446.00,,,
Kepler-1021 b,295.204905,42.559681,837.00,,,
Kepler-1022 b,289.352005,46.973728,455.00,,,
Kepler-1023 b,289.029742,49.769707,686.00,,,
Kepler-1024 b,291.950991,38.251698,1017.00,,,
Kepler-1025 b,284.510201,43.961666,716.00,,,
Kepler-1026 b,283.605263,39.997980,389.00,,,
Kepler-1027 b,287.571185,42.813923,291.00,,,
Kepler-1028 b,289.593097,49.781158,633.00,,,
Kepler-1029 b,292.132976,41.547540,422.00,,,
Kepler-103 b,288.984555,40.064521,501.93,,,
Kepler-103 c,288.984555,40.064521,501.93,,,
Kepler-1030 b,293.681915,45.817559,795.00,,,
Kepler-1031 b,296.089747,48.955376,741.00,,,
Kepler-1032 b,289.930872,40.097751,607.00,,,
Kepler-1033 b,283.845142,44.609093,1425.00,,,
Kepler-1034 b,286.115368,37.966997,706.00,,,
Kepler-1035 b,289.042225,42.882488,408.00,,,
Kepler-1036 b,295.181638,49.945786,507.00,,,
Kepler-1037 b,296.341029,47.170856,451.00,,,
Kepler-1038 b,298.972184,44.132378,622.00,,,
Kepler-1039 b,298.326591,45.315514,324.00,,,
Kepler-104 b,287.604612,42.166779,405.42,,,
Kepler-104 c,287.604612,42.166779,405.42,,,
Kepler-104 d,287.604612,42.166779,405.42,,,
Kepler-1040 b,283.113784,48.131393,473.00,,,
Kepler-1041 b,293.881768,49.683155,979.00,,,
Kepler-1042 b,288.668933,39.824006,659.00,,,
Kepler-1043 b,281.662983,47.568584,838.00,,,
Kepler-1044 b,293.144456,46.666237,1507.00,,,
Kepler-1045 b,284.183296,45.074104,971.00,,,
Kepler-1046 b,296.755759,46.998291,518.00,,,
Kepler-1047 b,288.646254,50.788982,566.00,,,
Kepler-1047 c,288.646254,50.788982,566.00,,,
Kepler-1048 b,281.898352,42.165787,415.00,,,
Kepler-1049 b,287.346741,47.772957,129.00,,,
Kepler-105 b,287.887325,46.276237,465.33,,,
Kepler-105 c,287.887325,46.276237,465.33,,,
Kepler-1050 b,282.924996,48.626392,555.00,,,
Kepler-1050 c,282.924996,48.626392,555.00,,,
Kepler-1051 b,295.158106,40.898849,1021.00,,,
Kepler-1052 b,295.342731,46.602264,1051.00,,,
Kepler-1053 b,291.418635,39.127415,171.00,,,
Kepler-1054 b,290.601152,44.556385,1050.00,,,
Kepler-1055 b,290.486779,44.932617,422.00,,,
Kepler-1056 b,299.525980,46.899261,971.00,,,
Kepler-1057 b,297.452152,41.558124,1462.00,,,
Kepler-1058 b,294.595783,45.875034,525.00,,,
Kepler-1059 b,289.220209,41.706486,673.00,,,
Kepler-106 b,300.863971,44.337555,449.98,,,
Kepler-106 c,300.863971,44.337555,449.98,,,
Kepler-106 d,300.863971,44.337555,449.98,,,
Kepler-106 e,300.863971,44.337555,449.98,,,
Kepler-1060 b,286.025189,39.630929,861.00,,,
Kepler-1061 b,296.230004,50.275230,585.00,,,
Kepler-1062 b,283.899402,41.221607,388.00,,,
Kepler-1063 b,290.526750,38.142973,365.00,,,
Kepler-1064 b,291.741637,37.688934,374.00,,,
Kepler-1065 b,294.511258,38.790501,1078.00,,,
Kepler-1065 c,294.511258,38.790501,1078.00,,,
Kepler-1066 b,298.866564,46.502239,399.00,,,
Kepler-1067 b,285.387409,45.049053,689.00,,,
Kepler-1068 b,294.648164,46.392365,1532.00,,,
Kepler-1069 b,290.979329,47.989002,435.00,,,
Kepler-107 b,297.028248,48.208611,525.50,,,
Kepler-107 c,297.028248,48.208611,525.50,,,
Kepler-107 d,297.028248,48.208611,525.50,,,
Kepler-107 e,297.028248,48.208611,525.50,,,
Kepler-1070 b,293.195374,49.316502,1040.00,,,
Kepler-1071 b,293.057996,45.248817,964.00,,,
Kepler-1072 b,292.044380,46.329025,976.00,,,
Kepler-1073 b,294.152700,38.233048,837.00,,,
Kepler-1073 c,294.152700,38.233048,837.00,,,
Kepler-1074 b,284.476545,46.252579,245.00,,,
Kepler-1075 b,287.501179,47.469269,265.00,,,
Kepler-1076 b,287.590098,51.060574,199.00,,,
Kepler-1077 b,291.033636,42.267860,1098.00,,,
Kepler-1078 b,293.200589,43.050037,1215.00,,,
Kepler-1079 b,299.549499,45.769753,481.00,,,
Kepler-108 b,294.559169,46.062325,729.00,,,
Kepler-108 c,294.559169,46.062325,729.00,,,
Kepler-1080 b,296.464522,49.182915,688.00,,,
Kepler-1081 b,289.444520,41.317757,425.00,,,
Kepler-1082 b,289.358672,50.598484,628.00,,,
Kepler-1083 b,283.161951,45.198315,912.00,,,
Kepler-1084 b,290.101971,48.251137,427.00,,,
Kepler-1085 b,287.477648,46.141186,1518.00,,,
Kepler-1085 c,287.477648,46.141186,1518.00,,,
Kepler-1086 b,295.251155,45.842972,464.00,,,
Kepler-1086 c,295.251155,45.842972,464.00,,,
Kepler-1087 b,294.978825,46.005653,354.00,,,
Kepler-1088 b,281.561453,42.450504,300.00,,,
Kepler-1089 b,291.092742,49.190059,227.00,,,
Kepler-109 b,290.392721,40.284875,481.40,,,
Kepler-109 c,290.392721,40.284875,481.40,,,
Kepler-1090 b,295.662872,44.525845,702.00,,,
Kepler-1091 b,299.785465,43.670753,915.00,,,
Kepler-1092 b,297.723140,47.112659,914.00,,,
Kepler-1093 b,284.978013,41.420166,848.00,,,
Kepler-1093 c,284.978013,41.420166,848.00,,,
Kepler-1094 b,292.301253,38.267041,1371.00,,,
Kepler-1095 b,293.262447,41.365114,758.00,,,
Kepler-1096 b,294.709380,45.969501,344.00,,,
Kepler-1097 b,281.594148,42.596416,738.00,,,
Kepler-1098 b,295.502705,43.232796,876.00,,,
Kepler-1099 b,288.749962,48.277176,1209.00,,,
Kepler-11 b,297.115123,41.909138,658.59,,,
Kepler-11 c,297.115123,41.909138,658.59,,,
Kepler-11 d,297.115123,41.909138,658.59,,,
Kepler-11 e,297.115123,41.909138,658.59,,,
Kepler-11 f,297.115123,41.909138,658.59,,,
Kepler-11 g,297.115123,41.909138,658.59,,,
Kepler-110 b,292.929133,48.602814,596.52,,,
Kepler-110 c,292.929133,48.602814,596.52,,,
Kepler-1100 b,291.871356,44.087376,940.00,,,
Kepler-1101 b,294.569379,45.671257,897.00,,,
Kepler-1102 b,281.322565,48.066505,986.00,,,
Kepler-1103 b,287.382090,49.452396,921.00,,,
Kepler-1104 b,294.468554,49.331024,516.00,,,
Kepler-1105 b,281.111771,42.454931,369.00,,,
Kepler-1106 b,291.145201,44.062546,1168.00,,,
Kepler-1107 b,291.049927,39.141674,457.00,,,
Kepler-1108 b,296.042339,45.985146,764.00,,,
Kepler-1109 b,291.646244,39.396624,797.00,,,
Kepler-111 b,291.653170,44.688274,669.92,,,
Kepler-111 c,291.653170,44.688274,669.92,,,
Kepler-1110 b,291.808022,38.622703,726.00,,,
Kepler-1111 b,295.463372,45.812744,1142.00,,,
Kepler-1112 b,296.968815,47.751488,1734.00,,,
Kepler-1113 b,289.406695,39.338834,1127.00,,,
Kepler-1114 b,299.236933,45.834698,427.00,,,
Kepler-1115 b,294.991772,40.144409,935.00,,,
Kepler-1116 b,291.933655,44.115505,1017.00,,,
Kepler-1117 b,292.084780,49.237480,619.00,,,
Kepler-1118 b,299.965664,44.160896,818.00,,,
Kepler-1119 b,297.019131,44.327522,1288.00,,,
Kepler-112 b,296.981009,43.209751,520.90,,,
Kepler-112 c,296.981009,43.209751,520.90,,,
