planet,,,,x,y,z
61 Vir b,199.601318,-18.311195,8.51,-2.710318018836362,-7.610903249443586,-2.673654421270629
61 Vir c,199.601318,-18.311195,8.51,-2.710318018836362,-7.610903249443586,-2.673654421270629
61 Vir d,199.601318,-18.311195,8.51,-2.710318018836362,-7.610903249443586,-2.673654421270629
7 CMa b,99.170990,-19.255878,19.82,18.471990651729804,-2.9822123521556336,-6.5363882113180125
7 CMa c,99.170990,-19.255878,19.82,18.471990651729804,-2.9822123521556336,-6.5363882113180125
70 Vir b,202.107544,13.778788,17.91,-6.546390808961885,-16.115728840800585,4.265694703811737
75 Cet b,38.039253,-1.034896,83.15,51.228771356949,65.47732489674388,-1.5018021253435563
8 UMi b,224.201477,74.900925,163.32,-29.660316538804953,-30.498799738099308,157.68167692332932
81 Cet b,39.424168,-3.396175,101.53,64.36404077135732,78.29071223408957,-6.014610000825594
91 Aqr b,348.972900,-9.087737,44.08,-8.325492581860647,42.723050765869395,-6.962291758202196
AB Pic b,94.803802,-58.054310,50.12,26.426098329994677,-2.2208274194029896,-42.52932697124045
AU Mic b,311.289703,-31.340899,9.79,-6.282701199887902,5.517487635787282,-5.092062040260464
BD+03 2562 b,177.564804,2.760142,2618.00,111.10818223839739,-2612.601275100174,126.06962038740248
BD+14 4559 b,318.399963,14.689387,49.42,-31.738812826178123,35.748238739315106,12.531862887127419
BD+15 2375 b,176.482174,14.616381,774.00,45.95494867970832,-747.5398811218345,195.31581816176327
BD+15 2940 b,240.095566,15.546930,431.61,-360.45516537362687,-207.30803312611695,115.68338366788956
BD+20 2457 b,154.186910,19.891409,1670.85,684.1433190928876,-1414.393684722646,568.4875953415901
BD+20 2457 c,154.186910,19.891409,1670.85,684.1433190928876,-1414.393684722646,568.4875953415901
BD+20 274 b,25.920324,21.005314,1383.85,564.7117401051155,1161.9288022973392,496.04730770292775
BD+20 594 b,53.650967,20.599232,180.39,136.00073516902827,100.08177484756337,63.46645158542785
BD+48 738 b,40.710224,49.586960,892.17,377.2439670791431,438.42830154661095,679.2900136210926
BD+48 740 b,40.742569,48.930061,678.94,291.1195664406391,337.9495129627493,511.8584260551495
BD+49 828 b,45.640529,49.730011,447.59,206.8527968773935,202.2787852627493,341.5143065182282
BD-06 1339 b,88.251183,-5.994844,20.28,20.15970038126491,0.6155179233578586,-2.1180222434272813
BD-06 1339 c,88.251183,-5.994844,20.28,20.15970038126491,0.6155179233578586,-2.1180222434272813
BD-08 2823 b,150.198837,-9.516680,41.38,20.282478747398407,-35.41353746237279,-6.84155101292473
BD-08 2823 c,150.198837,-9.516680,41.38,20.282478747398407,-35.41353746237279,-6.84155101292473
BD-10 3166 b,164.620003,-10.770376,84.61,22.044916499595416,-80.14283918417586,-15.811359335148651
BD-11 4672 b,278.370148,-11.636039,27.30,-26.454131219414553,3.892323749891019,-5.506247111420865
BD-11 4672 c,278.370148,-11.636039,27.30,-26.454131219414553,3.892323749891019,-5.506247111420865
BD-13 2130 b,114.288458,-13.906639,948.75,839.4248320991678,-378.8112907543199,-228.02306846529828
BD-17 63 b,7.142942,-16.226345,34.49,4.117827380864419,32.85908795087583,-9.637631280455299
CFBDSIR J145829+101343 b,224.620833,10.228611,23.10,-15.967840581412101,-16.180592778574763,4.102009812341173
CHXR 73 b,166.619893,-77.625877,191.05,9.474141231564486,-39.82961887787978,-186.6117483117481
CI Tau b,68.466728,22.841696,158.00,135.44688651340002,53.44482760890434,61.333443859615684
CT Cha b,166.037877,-76.455383,165.00,9.32389770178511,-37.50170851917374,-160.41099335703143
CoRoT-1 b,102.079885,-3.102147,805.31,786.3238977477932,-168.28451434984117,-43.5803414483641
CoRoT-10 b,291.063708,0.746143,345.00,-321.92027529955527,123.98448332713951,4.492687966106128
CoRoT-11 b,280.687263,5.937688,560.00,-547.333973079921,103.29381528940876,57.93021349439228
CoRoT-12 b,100.765677,-1.296439,1150.00,1129.4700252329521,-214.75678075136088,-26.018978104193746
CoRoT-13 b,102.721137,-5.086445,1060.00,1029.9088313888933,-232.49925259917433,-93.9781706993122
CoRoT-14 b,103.424211,-5.536037,1340.00,1297.3089663465564,-309.6419549745796,-129.27221494331235
CoRoT-16 b,278.524691,-6.002595,840.00,-826.1650393734678,123.83519489461892,-87.84174532901856
CoRoT-17 b,278.699254,-6.612234,920.00,-903.3669341322725,138.22252863628364,-105.93731587051921
CoRoT-18 b,98.172410,-0.031586,870.00,861.1648426769617,-123.67248565559804,-0.47961331256222933
CoRoT-19 b,97.033582,-0.170681,770.00,764.202013857121,-94.28690560738121,-2.2937845813040747
CoRoT-2 b,291.777056,1.383714,200.00,-185.67273415604177,74.17756211059645,4.829603539467532
CoRoT-20 b,97.720408,0.226919,864.31,856.468669504329,-116.10976187794805,3.423076705314876
CoRoT-20 c,97.720408,0.226919,864.31,856.468669504329,-116.10976187794805,3.423076705314876
CoRoT-21 b,101.052450,-0.299130,1398.83,1372.865932001961,-268.1625777104232,-7.302983232035666
CoRoT-22 b,280.667115,6.219136,592.00,-578.3459562285329,108.9358463105739,64.13217837172554
CoRoT-23 b,279.782615,4.357806,600.00,-589.5663093107669,101.65156725573773,45.590852154059824
CoRoT-24 b,101.922547,-3.719301,600.00,585.8202131129271,-123.69247090165398,-38.92108105600403
CoRoT-24 c,101.922547,-3.719301,600.00,585.8202131129271,-123.69247090165398,-38.92108105600403
CoRoT-25 b,280.629662,6.513829,1000.00,-976.4952661352859,183.2694090822758,113.44302054340177
CoRoT-26 b,279.750514,6.969787,1670.00,-1633.7135136635013,280.7384128737174,202.647720960297
CoRoT-27 b,278.495813,5.538462,1035.15,-1019.0115184352792,152.21616316018336,99.906393534245
CoRoT-28 b,278.688338,5.573730,560.00,-550.956529733334,84.19343210744117,54.39088466068129
CoRoT-29 b,278.902103,6.479651,765.00,-750.9569968863998,117.62496687512511,86.3305044291148
CoRoT-3 b,292.055263,0.121820,680.00,-630.2376084505672,255.33990403424744,1.4457877751551995
CoRoT-30 b,277.601100,6.835951,960.00,-944.7998265949915,126.08167362151309,114.26591461530528
CoRoT-31 b,94.820729,-4.422276,2190.00,2175.756023653118,-183.4960779485299,-168.8635985482955
CoRoT-4 b,102.194663,-0.672774,741.60,724.8162513382212,-156.64015054114563,-8.70775714268897
CoRoT-5 b,101.277254,0.815239,904.65,887.0935478808468,-176.8925803760569,12.87147295658559
CoRoT-6 b,281.072525,6.663194,657.24,-640.6486342377432,125.37126026093189,76.26134112314068
CoRoT-7 b,100.956125,-1.063033,160.64,157.68487255313343,-30.52554126953809,-2.98025134909556
CoRoT-7 c,100.956125,-1.063033,160.64,157.68487255313343,-30.52554126953809,-2.98025134909556
CoRoT-8 b,291.588518,1.426452,380.00,-353.233591005436,139.77319468315739,9.459610640431944
CoRoT-9 b,280.786712,6.204172,417.89,-408.10187389376614,77.75150946310129,45.162101375000944
CoRoTID 223977153 b,100.195183,9.257431,586.20,569.4297872272722,-102.40716760957808,94.30232998440347
DE CVn b,201.721958,45.546303,30.55,-7.918409519905122,-19.875908541170016,21.807098622653143
DENIS-P J082303.1-491201 b,125.763050,-49.200359,20.77,11.012427367713086,-7.931622079477455,-15.722872341248262
DH Tau b,67.423158,26.549520,140.00,115.63931219971886,48.081170847071064,62.57595771500999
DMPP-1 b,86.776115,-10.630232,62.00,60.839528516323185,3.4268998803136634,-11.437138065171885
DMPP-1 c,86.776115,-10.630232,62.00,60.839528516323185,3.4268998803136634,-11.437138065171885
DMPP-1 d,86.776115,-10.630232,62.00,60.839528516323185,3.4268998803136634,-11.437138065171885
DMPP-1 e,86.776115,-10.630232,62.00,60.839528516323185,3.4268998803136634,-11.437138065171885
DMPP-2 b,27.407873,-34.459129,134.00,50.8595821091356,98.08509037620344,-75.81964094860975
DMPP-3 A b,91.624382,-72.512665,48.90,14.68829939494928,-0.4165368529463923,-46.64000812536882
DP Leo b,169.316667,17.961417,305.06,53.79614946840061,-285.1627369238261,94.0733297618738
DS Tuc A b,354.914490,-69.195747,44.12,-1.389060104963959,15.608694448759588,-41.2433457618324
EPIC 201238110 b,179.705933,-3.389389,159.98,0.8196474814082656,-159.69805865052987,-9.45825783419683
EPIC 201497682 b,168.936646,0.488114,254.88,48.90824405550627,-250.1341306533322,2.1713465197382713
EPIC 201615463 c,185.188293,2.282436,481.00,-43.46188615010697,-478.6492555393199,19.156059718269514
EPIC 201754305 d,175.097260,4.557340,338.19,28.811880008001438,-335.8872957588642,26.871475921538476
EPIC 201833600 c,169.483627,5.988378,259.33,47.07371576299641,-253.58260666603462,27.055050928131596
EPIC 201841433 b,175.206772,6.134857,441.94,36.71704892614666,-437.8723326218136,47.22967544337784
EPIC 205950854 c,333.109894,-16.341755,245.56,-106.57519825198672,210.1611292578401,-69.09226054066527
EPIC 206024342 b,331.277222,-14.121665,373.81,-174.21385021699427,317.9080024193945,-91.20280966220801
EPIC 206032309 b,341.240692,-13.900921,162.09,-50.600392222868486,148.9844277530045,-38.941092614379244
EPIC 206042996 b,337.513580,-13.610113,457.27,-169.97852965848077,410.6397299433038,-107.60187984989648
EPIC 206215704 b,335.094818,-9.509531,110.22,-45.77777199642644,98.59641655942121,-18.209630218219388
EPIC 206317286 b,337.617584,-7.972406,317.20,-119.61812038068585,290.46830456388756,-43.994423741792275
EPIC 211822797 b,130.410370,17.640005,187.19,135.82851857109372,-115.64152681598209,56.72518768986617
EPIC 211945201 b,136.573975,19.402252,182.69,118.4523146347236,-125.1458961864681,60.689290038376605
EPIC 212297394 b,207.206223,-17.609905,423.35,-184.48308133961058,-358.86937424519465,-128.07805209443592
EPIC 212424622 b,202.331421,-14.359463,622.67,-229.20046695955236,-557.9766990149305,-154.42499215452398
EPIC 212499991 b,202.488770,-12.734723,285.61,-106.5591543452496,-257.39923923710114,-62.95911661853964
EPIC 212587672 b,205.444702,-10.862432,322.88,-136.236538256246,-286.33671436986253,-60.84723533428733
EPIC 212737443 b,204.221695,-7.318144,347.45,-141.38657606787115,-314.28107127055637,-44.25773207966626
EPIC 212737443 c,204.221695,-7.318144,347.45,-141.38657606787115,-314.28107127055637,-44.25773207966626
EPIC 220554210 c,13.432017,7.995316,502.28,115.54120333134357,483.7918577917981,69.86320252540476
EPIC 220674823 b,13.079780,10.794699,246.10,54.70875967037966,235.47329567282412,46.092175478136966
EPIC 220674823 c,13.079780,10.794699,246.10,54.70875967037966,235.47329567282412,46.092175478136966
EPIC 246851721 b,78.919746,16.278742,336.70,317.17666799983425,62.11407900470959,94.3805725026058
EPIC 248847494 b,159.389267,11.842731,560.00,192.9335350192589,-512.9995447291126,114.92657731219325
EPIC 249893012 b,228.248199,-16.724524,324.22,-231.64827174984384,-206.76706980794518,-93.30094017932953
EPIC 249893012 c,228.248199,-16.724524,324.22,-231.64827174984384,-206.76706980794518,-93.30094017932953
EPIC 249893012 d,228.248199,-16.724524,324.22,-231.64827174984384,-206.76706980794518,-93.30094017932953
FU Tau b,65.898908,25.049898,140.00,115.77515442967,51.79137741485478,59.27703469521845
G 9-40 b,134.718109,21.076048,27.93,18.518771922393253,-18.33744061795742,10.043816907394548
GJ 1061 b,53.998836,-44.512634,3.67,2.1172162782894897,1.5383133855189812,-2.572914137486739
GJ 1061 c,53.998836,-44.512634,3.67,2.1172162782894897,1.5383133855189812,-2.572914137486739
GJ 1061 d,53.998836,-44.512634,3.67,2.1172162782894897,1.5383133855189812,-2.572914137486739
GJ 1132 b,153.715737,-47.156727,12.62,3.8001200665299306,-7.6942784162765525,-9.253192267146366
GJ 1132 c,153.715737,-47.156727,12.62,3.8001200665299306,-7.6942784162765525,-9.253192267146366
GJ 1148 b,175.435974,42.751972,11.02,0.6439033892651365,-8.06631722413881,7.480662728986946
GJ 1148 c,175.435974,42.751972,11.02,0.6439033892651365,-8.06631722413881,7.480662728986946
GJ 1214 b,258.828837,4.963920,14.65,-14.318517920784817,-2.827654582212184,1.2676411621032613
GJ 1252 b,306.925235,-56.456990,20.38,-9.002453897372124,6.765435808525795,-16.98614441674173
GJ 1265 b,333.428676,-17.685771,10.26,-4.3725063777660935,8.742619738613028,-3.116951729239431
GJ 143 b,51.746769,-63.499100,16.33,5.72206724363405,4.511437324160776,-14.614163668492948
GJ 15 A b,4.595356,44.022953,3.56,0.20509110482637485,2.551629808364455,2.4740094906420773
GJ 15 A c,4.595356,44.022953,3.56,0.20509110482637485,2.551629808364455,2.4740094906420773
GJ 160.2 b,61.645172,-20.853121,25.88,21.283149721604797,11.486080123914688,-9.212594711305037
GJ 163 b,62.315273,-53.373699,15.14,7.998368778905365,4.196518110731374,-12.150511619801675
GJ 163 c,62.315273,-53.373699,15.14,7.998368778905365,4.196518110731374,-12.150511619801675
GJ 163 d,62.315273,-53.373699,15.14,7.998368778905365,4.196518110731374,-12.150511619801675
GJ 179 b,73.023865,6.476539,12.36,11.745988068702216,3.585759839885329,1.3941630681418649
GJ 180 b,73.458252,-17.773418,11.94,10.899536800408706,3.2372304309645266,-3.6447272426580266
GJ 180 c,73.458252,-17.773418,11.94,10.899536800408706,3.2372304309645266,-3.6447272426580266
GJ 180 d,73.458252,-17.773418,11.94,10.899536800408706,3.2372304309645266,-3.6447272426580266
GJ 2056 b,108.020042,-24.892090,28.47,24.558429508296094,-7.989015971512532,-11.983324409068185
GJ 229 A c,92.644234,-21.864643,5.76,5.3399697896726215,-0.24661786710230418,-2.1451112495648434
GJ 229 b,92.644234,-21.864643,5.76,5.3399697896726215,-0.24661786710230418,-2.1451112495648434
GJ 27.1 b,9.995098,-44.253220,23.62,2.9363762123875836,16.661352548700247,-16.482761479413703
GJ 273 b,111.852081,5.225785,3.80,3.5123021455890635,-1.40852535696912,0.3461068575822645
GJ 273 c,111.852081,5.225785,3.80,3.5123021455890635,-1.40852535696912,0.3461068575822645
GJ 3021 b,4.052823,-79.851181,17.56,0.21868388453665819,3.0864312244457444,-17.285245721580306
GJ 3082 b,18.642490,-53.942116,16.63,3.1289981262851785,9.274871335095684,-13.444070531023117
GJ 3138 b,32.295425,-16.339592,28.49,14.606985028002468,23.11005082888254,-8.015088213998458
GJ 3138 c,32.295425,-16.339592,28.49,14.606985028002468,23.11005082888254,-8.015088213998458
GJ 3138 d,32.295425,-16.339592,28.49,14.606985028002468,23.11005082888254,-8.015088213998458
GJ 317 b,130.246730,-23.456289,15.10,10.57295701886284,-8.949632988375933,-6.010544838086827
GJ 317 c,130.246730,-23.456289,15.10,10.57295701886284,-8.949632988375933,-6.010544838086827
GJ 328 b,133.781754,1.546508,20.54,14.824079977777176,-14.206722300607769,0.5543413081124241
GJ 3293 b,67.148820,-25.169301,20.20,16.8472703673275,7.099655207588647,-8.590947392664448
GJ 3293 c,67.148820,-25.169301,20.20,16.8472703673275,7.099655207588647,-8.590947392664448
GJ 3293 d,67.148820,-25.169301,20.20,16.8472703673275,7.099655207588647,-8.590947392664448
GJ 3293 e,67.148820,-25.169301,20.20,16.8472703673275,7.099655207588647,-8.590947392664448
GJ 3323 b,75.489280,-6.946263,5.32,5.112493039092978,1.3232011696230912,-0.6433922520002342
GJ 3323 c,75.489280,-6.946263,5.32,5.112493039092978,1.3232011696230912,-0.6433922520002342
GJ 3341 b,78.944663,-31.295951,23.16,19.42286046139474,3.794892909281178,-12.030664125653095
GJ 338 B b,138.602905,52.686375,6.33,2.5373763859437077,-2.878382746260903,5.034434808603921
GJ 3470 b,119.774349,15.391492,29.45,24.645448188955825,-14.099932451092174,7.816411480988681
GJ 3512 b,130.333891,59.497391,9.49,3.671862262545741,-3.117701547928703,8.176641399923042
GJ 357 b,144.006821,-21.660797,9.44,5.156028717085764,-7.0984416549114,-3.484407258115163
GJ 357 c,144.006821,-21.660797,9.44,5.156028717085764,-7.0984416549114,-3.484407258115163
GJ 357 d,144.006821,-21.660797,9.44,5.156028717085764,-7.0984416549114,-3.484407258115163
GJ 3634 b,164.646242,-31.143989,19.80,4.486988078508902,-16.341410271609316,-10.240373446230393
GJ 3779 b,200.736403,24.467626,13.75,-4.431241218611853,-11.704444230120751,5.69496150351066
GJ 3942 b,242.263092,52.943874,16.94,-9.035034549106358,-4.750925988456944,13.518892445339556
GJ 3998 b,259.002655,11.057666,18.16,-17.495554698112656,-3.3999499888026183,3.4830311337955777
GJ 3998 c,259.002655,11.057666,18.16,-17.495554698112656,-3.3999499888026183,3.4830311337955777
GJ 411 b,165.834137,35.969879,2.55,0.5050685987777634,-2.0010241829750948,1.4977676487618234
GJ 422 b,169.000870,-57.547668,12.67,1.2971505416035038,-6.673802060480572,-10.691429583079291
GJ 4276 b,336.321023,59.413835,21.35,-4.3629482727639575,9.948990488861378,18.379466004803618
GJ 433 b,173.862289,-32.539970,9.07,0.8175158605332827,-7.6023294880732175,-4.878642656779541
GJ 433 c,173.862289,-32.539970,9.07,0.8175158605332827,-7.6023294880732175,-4.878642656779541
GJ 433 d,173.862289,-32.539970,9.07,0.8175158605332827,-7.6023294880732175,-4.878642656779541
GJ 436 b,175.546219,26.706570,9.76,0.6770575385236518,-8.692473668837938,4.38635322404471
GJ 480 b,189.718506,11.696165,14.24,-2.353910222916506,-13.744211012151002,2.8867577515122926
GJ 504 b,199.193817,9.424156,17.54,-5.688703769081689,-16.341409898892742,2.8720327198703908
GJ 536 b,210.263290,-2.654864,10.41,-5.24074174742155,-8.981660326056348,-0.482186399827199
GJ 581 b,229.861771,-7.722280,6.30,-4.772617301621555,-4.024362440956946,-0.846540628722356
GJ 581 c,229.861771,-7.722280,6.30,-4.772617301621555,-4.024362440956946,-0.846540628722356
GJ 581 e,229.861771,-7.722280,6.30,-4.772617301621555,-4.024362440956946,-0.846540628722356
GJ 625 b,246.352600,54.304104,6.49,-3.4688315224908224,-1.5189139298577867,5.2706933454962055
GJ 649 b,254.536880,25.744160,10.38,-9.011269129063649,-2.492800767462474,4.508588805526956
GJ 667 C b,259.745085,-34.996827,6.80,-5.481464345148999,-0.991695822973609,-3.9000112855678957
GJ 667 C c,259.745085,-34.996827,6.80,-5.481464345148999,-0.991695822973609,-3.9000112855678957
GJ 667 C e,259.745085,-34.996827,6.80,-5.481464345148999,-0.991695822973609,-3.9000112855678957
GJ 667 C f,259.745085,-34.996827,6.80,-5.481464345148999,-0.991695822973609,-3.9000112855678957
GJ 667 C g,259.745085,-34.996827,6.80,-5.481464345148999,-0.991695822973609,-3.9000112855678957
GJ 674 b,262.166443,-46.895191,4.55,-3.0801602619371313,-0.42376745891694345,-3.3219774083437796
GJ 676 A b,262.546692,-51.636978,16.03,-9.864829949925449,-1.2905519020105778,-12.569029630296477
GJ 676 A c,262.546692,-51.636978,16.03,-9.864829949925449,-1.2905519020105778,-12.569029630296477
GJ 676 A d,262.546692,-51.636978,16.03,-9.864829949925449,-1.2905519020105778,-12.569029630296477
GJ 676 A e,262.546692,-51.636978,16.03,-9.864829949925449,-1.2905519020105778,-12.569029630296477
GJ 682 b,264.265259,-44.319214,5.01,-3.5665074271658015,-0.358168977364389,-3.5002628123649404
GJ 682 c,264.265259,-44.319214,5.01,-3.5665074271658015,-0.358168977364389,-3.5002628123649404
GJ 685 b,263.893677,61.681564,14.32,-6.7544577574857225,-0.7225972230483565,12.606250578803508
GJ 687 b,264.107910,68.339142,4.55,-1.670586686142135,-0.17240524685173006,4.228701521146016
GJ 687 c,264.107910,68.339142,4.55,-1.670586686142135,-0.17240524685173006,4.228701521146016
GJ 832 b,323.391571,-49.009006,4.97,-1.9440922585190825,2.61691806153509,-3.751419084770135
GJ 832 c,323.391571,-49.009006,4.97,-1.9440922585190825,2.61691806153509,-3.751419084770135
GJ 849 b,332.418121,-4.640729,8.80,-4.0611805376105305,7.774309548770411,-0.7119857307774349
GJ 86 b,32.608059,-50.823723,10.79,3.6731412429695935,5.741751409183927,-8.36447393231219
GJ 876 b,343.319733,-14.263700,4.68,-1.3018919943871974,4.3448681427229845,-1.1530819820383305
GJ 876 c,343.319733,-14.263700,4.68,-1.3018919943871974,4.3448681427229845,-1.1530819820383305
GJ 876 d,343.319733,-14.263700,4.68,-1.3018919943871974,4.3448681427229845,-1.1530819820383305
GJ 876 e,343.319733,-14.263700,4.68,-1.3018919943871974,4.3448681427229845,-1.1530819820383305
GJ 887 b,346.466827,-35.853069,3.29,-0.6240103579332523,2.5925766089510205,-1.926981473681582
GJ 887 c,346.466827,-35.853069,3.29,-0.6240103579332523,2.5925766089510205,-1.926981473681582
GJ 9066 b,30.054021,13.051965,4.47,2.1808148265058724,3.769070812974529,1.0094810049107823
GJ 9066 c,30.054021,13.051965,4.47,2.1808148265058724,3.769070812974529,1.0094810049107823
GJ 96 b,35.561016,47.880028,11.94,4.657198591144405,6.514466077815426,8.856400679939604
GJ 9827 b,351.770142,-1.286273,29.69,-4.248895424997072,29.37684118442791,-0.6664755752006686
GJ 9827 c,351.770142,-1.286273,29.69,-4.248895424997072,29.37684118442791,-0.6664755752006686
GJ 9827 d,351.770142,-1.286273,29.69,-4.248895424997072,29.37684118442791,-0.6664755752006686
GQ Lup b,237.300427,-35.651421,151.82,-103.8139722177109,-66.6462931138423,-88.48866134462746
GSC 06214-00210 b,245.477780,-20.719202,145.00,-123.38912876850237,-56.28946581987432,-51.29930739749941
GU Psc b,18.146006,17.065475,48.00,14.290890021118065,43.60443728059155,14.08628807909544
Gl 378 b,150.590622,48.088806,14.96,4.9070017118672355,-8.70519325877804,11.132948599856975
Gl 49 b,15.661943,62.345043,9.86,1.2354703609236972,4.406559283217025,8.733581640471046
Gl 686 b,264.472290,18.591709,8.16,-7.698200791081247,-0.7450102077031616,2.6015888165915393
HAT-P-1 b,344.445104,38.674953,159.71,-33.43603630263814,120.11942104455805,99.80300729080687
HAT-P-11 b,297.709351,48.080856,37.81,-22.363259689966885,11.745630059182933,28.133981064753712
HAT-P-11 c,297.709351,48.080856,37.81,-22.363259689966885,11.745630059182933,28.133981064753712
HAT-P-12 b,209.389489,43.493534,142.50,-50.73159347789985,-90.07270616450705,98.07886126681674
HAT-P-13 b,129.882536,47.352051,214.00,111.2544263431537,-92.96553565667254,157.40349995830374
HAT-P-13 c,129.882536,47.352051,214.00,111.2544263431537,-92.96553565667254,157.40349995830374
HAT-P-14 b,260.116169,38.242165,224.10,-173.3961423642015,-30.21205054037402,138.71488678350082
HAT-P-15 b,66.248026,39.460636,193.56,136.78226225447813,60.19126083813974,123.0166592428123
HAT-P-16 b,9.573181,42.463078,235.00,28.83142379339588,170.94820001004925,158.65201516328054
HAT-P-17 b,324.536396,30.488716,92.63,-46.311562558002734,65.01373325837122,46.99755909880378
HAT-P-17 c,324.536396,30.488716,92.63,-46.311562558002734,65.01373325837122,46.99755909880378
HAT-P-18 b,256.346473,33.012512,166.00,-135.265913303218,-32.8580632345328,90.44047975725111
HAT-P-19 b,9.516742,34.711575,215.00,29.2208264375649,174.30387655615252,122.4308046196024
HAT-P-2 b,245.151489,41.048084,128.25,-87.76663532071838,-40.644089670966494,84.22077059311712
HAT-P-20 b,111.916469,24.336630,70.00,59.170370592955486,-23.806095078000205,28.846786320654903
HAT-P-21 b,171.274955,41.027954,279.48,31.982436951341114,-208.39687954175056,183.45826425624603
HAT-P-22 b,155.681719,50.128345,81.96,21.63710622140823,-47.88014032043905,62.90285682907068
HAT-P-23 b,306.123854,16.762152,368.61,-285.09168152063154,208.07429236507647,106.30688634567127
HAT-P-24 b,108.825058,14.262599,420.26,385.5186930568541,-131.4294407211848,103.53794963901724
HAT-P-25 b,48.435419,25.197405,302.95,205.10127131555407,181.8708218670659,128.97742111757955
HAT-P-26 b,213.156383,4.059997,142.41,-77.69227901039251,-118.92373832720946,10.082774640580604
HAT-P-27 b,222.767436,5.947368,204.00,-137.77534319396196,-148.95356285730526,21.137429358860327
HAT-P-28 b,13.000766,34.728413,395.00,73.03129211101842,316.31398621839,225.02642621529426
HAT-P-29 b,33.131142,51.778759,316.36,106.9786442585976,163.91009877369925,248.54114104628349
HAT-P-3 b,206.094121,48.028667,135.08,-39.733987889472075,-81.128229640421,100.42921368710603
HAT-P-30 b,123.949894,5.836719,215.29,177.66286219620378,-119.60919125400306,21.8936717755616
HAT-P-31 b,271.537705,26.426662,347.48,-311.0579350299295,8.350182497248825,154.64664854816215
HAT-P-32 b,31.042848,46.687836,291.51,103.11926015326583,171.32891416315633,212.11058780060196
HAT-P-33 b,113.184212,33.835052,400.55,305.84571315780835,-130.98589382352395,223.02779616506123
HAT-P-34 b,303.195342,18.104868,251.08,-199.70347370848026,130.65910496812367,78.02491446772092
HAT-P-35 b,123.250764,4.787023,514.20,428.51459903857545,-280.9546521228431,42.91109252094504
HAT-P-36 b,188.266255,44.915352,296.93,-30.231399171063284,-208.08659762400652,209.65079368660795
