Earth,,,0,0,0,0
11 Com b,185.179276,17.792868,93.37,-8.025562562252665,-88.54088937541675,28.53170436846672
11 UMi b,229.274536,71.823898,125.72,-29.720331359345643,-25.586507454596397,119.44685404047517
14 And b,352.822571,39.236198,75.59,-7.315109561406058,58.08907798856206,47.81209355951046
14 Her b,242.601303,43.817646,17.94,-11.492509368783287,-5.956819454020349,12.421035802244237
16 Cyg B b,295.466553,50.517525,21.15,-12.141400491330318,5.7824532361521985,16.323974046807255
18 Del b,314.608063,10.839286,76.38,-53.40683645636194,52.68112079936673,14.363625275185225
1RXS J160929.1-210524 b,242.376268,-21.083036,145.00,-119.87179872093067,-62.73069668733633,-52.15948201938068
24 Boo b,217.157547,49.844852,96.25,-37.489455609352135,-49.46659864078789,73.56397784939051
24 Sex b,155.868210,-0.902244,72.21,29.518450459327198,-65.89121559518189,-1.1370531515734457
24 Sex c,155.868210,-0.902244,72.21,29.518450459327198,-65.89121559518189,-1.1370531515734457
2MASS J01033563-5515561 AB b,15.898458,-55.265583,47.20,7.366970968365915,25.86459444246477,-38.78905120105511
2MASS J01225093-2439505 b,20.712243,-24.664049,36.00,11.570725658090321,30.601259810972056,-15.022689696808506
2MASS J02192210-3925225 b,34.842106,-39.422928,39.40,17.388424626829686,24.97947324902853,-25.02056364669131
2MASS J04414489+2301513 b,70.437073,23.030941,140.00,121.40367739519017,43.141411302369825,54.77194305266473
2MASS J12073346-3932539 b,181.889447,-39.548332,64.42,-1.637788753533509,-49.64646525186414,-41.01807572271335
2MASS J19383260+4603591 b,294.635865,46.066418,400.77,-252.75319482534806,115.91088016739643,288.6123408040604
2MASS J21402931+1625183 A b,325.122159,16.421759,25.00,-13.712546281108738,19.672683746385605,7.067643787228281
2MASS J22362452+4751425 b,339.102203,47.861820,74.00,-17.70959707293662,46.382201523411176,54.87314054577074
30 Ari B b,39.240585,24.648064,44.71,25.70564427242228,31.472691012148385,18.646009572922516
4 UMa b,130.053406,64.327934,73.58,24.399558674093015,-20.512447255806524,66.31679609335215
42 Dra b,276.496399,65.563484,90.86,-37.34604624123228,4.252666870665171,82.72077885655386
47 UMa b,164.866562,40.430256,13.80,2.742389011532239,-10.140212489221687,8.949602962302839
47 UMa c,164.866562,40.430256,13.80,2.742389011532239,-10.140212489221687,8.949602962302839
47 UMa d,164.866562,40.430256,13.80,2.742389011532239,-10.140212489221687,8.949602962302839
51 Eri b,69.400551,-2.473548,29.40,27.494607918348244,10.3342419295633,-1.268849540945628
51 Peg b,344.366577,20.768833,15.47,-3.897981502489451,13.929624004386431,5.485637182923362
55 Cnc b,133.149216,28.330818,12.59,8.085149535373942,-7.578986258412527,5.9747321517735505
55 Cnc c,133.149216,28.330818,12.59,8.085149535373942,-7.578986258412527,5.9747321517735505
55 Cnc d,133.149216,28.330818,12.59,8.085149535373942,-7.578986258412527,5.9747321517735505
55 Cnc e,133.149216,28.330818,12.59,8.085149535373942,-7.578986258412527,5.9747321517735505
55 Cnc f,133.149216,28.330818,12.59,8.085149535373942,-7.578986258412527,5.9747321517735505
6 Lyn b,97.696281,58.162632,54.74,28.615779122189117,-3.8671137803672395,46.504303201314386
61 Vir b,199.601318,-18.311195,8.51,-2.710318018836362,-7.610903249443586,-2.673654421270629
61 Vir c,199.601318,-18.311195,8.51,-2.710318018836362,-7.610903249443586,-2.673654421270629
61 Vir d,199.601318,-18.311195,8.51,-2.710318018836362,-7.610903249443586,-2.673654421270629
7 CMa b,99.170990,-19.255878,19.82,18.471990651729804,-2.9822123521556336,-6.5363882113180125
7 CMa c,99.170990,-19.255878,19.82,18.471990651729804,-2.9822123521556336,-6.5363882113180125
70 Vir b,202.107544,13.778788,17.91,-6.546390808961885,-16.115728840800585,4.265694703811737
75 Cet b,38.039253,-1.034896,83.15,51.228771356949,65.47732489674388,-1.5018021253435563
8 UMi b,224.201477,74.900925,163.32,-29.660316538804953,-30.498799738099308,157.68167692332932
81 Cet b,39.424168,-3.396175,101.53,64.36404077135732,78.29071223408957,-6.014610000825594
91 Aqr b,348.972900,-9.087737,44.08,-8.325492581860647,42.723050765869395,-6.962291758202196
AB Pic b,94.803802,-58.054310,50.12,26.426098329994677,-2.2208274194029896,-42.52932697124045
AU Mic b,311.289703,-31.340899,9.79,-6.282701199887902,5.517487635787282,-5.092062040260464
BD+03 2562 b,177.564804,2.760142,2618.00,111.10818223839739,-2612.601275100174,126.06962038740248
BD+14 4559 b,318.399963,14.689387,49.42,-31.738812826178123,35.748238739315106,12.531862887127419
BD+15 2375 b,176.482174,14.616381,774.00,45.95494867970832,-747.5398811218345,195.31581816176327
BD+15 2940 b,240.095566,15.546930,431.61,-360.45516537362687,-207.30803312611695,115.68338366788956
BD+20 2457 b,154.186910,19.891409,1670.85,684.1433190928876,-1414.393684722646,568.4875953415901
BD+20 2457 c,154.186910,19.891409,1670.85,684.1433190928876,-1414.393684722646,568.4875953415901
BD+20 274 b,25.920324,21.005314,1383.85,564.7117401051155,1161.9288022973392,496.04730770292775
BD+20 594 b,53.650967,20.599232,180.39,136.00073516902827,100.08177484756337,63.46645158542785
BD+48 738 b,40.710224,49.586960,892.17,377.2439670791431,438.42830154661095,679.2900136210926
BD+48 740 b,40.742569,48.930061,678.94,291.1195664406391,337.9495129627493,511.8584260551495
BD+49 828 b,45.640529,49.730011,447.59,206.8527968773935,202.2787852627493,341.5143065182282
BD-06 1339 b,88.251183,-5.994844,20.28,20.15970038126491,0.6155179233578586,-2.1180222434272813
